subject,clip_id,EI_mean,EI_sd,n_windows,rank
P05,clip_21,0.2325118249530045,1.0377875455486132,33,1
P05,clip_24,0.1911952756486882,1.200960062458317,25,2
P05,clip_11,0.18641586661413342,1.0477584910229747,60,3
P05,clip_13,0.08787668702595397,0.8435326227917594,35,4
P05,clip_03,0.0654490685223916,1.0966589408909926,39,5
P05,clip_01,0.040058932146429846,1.190801600821754,56,6
P05,clip_22,-0.039694296197721246,0.8693289016758396,70,7
P05,clip_02,-0.04479154882102781,0.755712937854877,29,8
P05,clip_04,-0.045737944213737475,1.0245552482606461,47,9
P05,clip_23,-0.049106425636640354,1.0483820817008394,36,10
P05,clip_12,-0.15388847249202814,0.9412926059704523,30,11
P05,clip_14,-0.37053916675725873,0.8402735770553752,51,12
